Learning rate	Momentum	Hidden Layers	Nodes per layer	Stopping criteria
0.1	0.9	1	2Xdimensions	Stop at 100 epochs
Arff File	 Training Accuracy	 Test Accuracy		
outputs/filtered-50x50-400k-200d_output.txt	0.211009	0.165517		
outputs/japanese-50x50-allk-110d_output.txt	0.18125	0.188679		
outputs/mitchell-50x50-allk-105d_output.txt	0.28	0.190476		
outputs/japanese-50x50-200k-100d_output.txt	0.16875	0.188679		
outputs/mitchell-50x50-allk-40d_output.txt	0.664	0.238095		
outputs/japanese-50x50-allk-100d_output.txt	0.14375	0.113208		
outputs/japanese-50x50-allk-20d_output.txt	0.8375	0.754717		
outputs/mitchell-50x50-allk-120d_output.txt	0	0		
outputs/japanese-50x50-allk-200d_output.txt	0.11875	0.207547		
outputs/japanese-50x50-allk-75d_output.txt	0.1375	0.132075		
outputs/japanese-50x50-allk-50d_output.txt	0.8375	0.603774		
outputs/japanese-50x50-allk-85d_output.txt	0.15	0.132075		
outputs/mitchell-50x50-allk-110d_output.txt	0	0		
outputs/japanese-50x50-allk-175d_output.txt	0.1375	0.169811		
outputs/mitchell-50x50-allk-45d_output.txt	0.264	0.214286		
outputs/filtered-50x50-100k-50d_output.txt	0.332569	0.2		
outputs/japanese-50x50-allk-30d_output.txt	0.91875	0.622642		
outputs/japanese-50x50-allk-180d_output.txt	0.1125	0.150943		
outputs/japanese-50x50-allk-80d_output.txt	0.1125	0.207547		
outputs/japanese-50x50-allk-5d_output.txt	0.275	0.188679		
outputs/mitchell-50x50-allk-15d_output.txt	0.424	0.238095		
outputs/japanese-50x50-allk-10d_output.txt	0.675	0.509434		
outputs/mitchell-50x50-allk-5d_output.txt	0.248	0.214286		
outputs/japanese-50x50-100k-50d_output.txt	0.85625	0.679245		
outputs/japanese-50x50-allk-210d_output.txt	0.15625	0.0754717		
outputs/japanese-50x50-allk-155d_output.txt	0.1875	0.132075		
outputs/japanese-50x50-allk-170d_output.txt	0.14375	0.169811		
outputs/japanese-50x50-allk-135d_output.txt	0.18125	0.0754717		
outputs/mitchell-50x50-allk-30d_output.txt	0.504	0.119048		
outputs/japanese-50x50-allk-65d_output.txt	0.24375	0.320755		
outputs/mitchell-50x50-allk-25d_output.txt	0.488	0.166667		
outputs/mitchell-50x50-allk-65d_output.txt	0	0		
outputs/filtered-50x50-200k-100d_output.txt	0.176606	0.158621		
outputs/mitchell-50x50-allk-100d_output.txt	0	0		
outputs/all-50x50-400k-200d_output.txt	0.15704	0.145946		
outputs/japanese-50x50-allk-115d_output.txt	0.1125	0.207547		
outputs/japanese-50x50-allk-90d_output.txt	0.225	0.188679		
outputs/mitchell-50x50-allk-35d_output.txt	0.632	0.309524		
outputs/mitchell-50x50-allk-85d_output.txt	0	0		
outputs/mitchell-50x50-allk-55d_output.txt	0	0		
outputs/mitchell-50x50-allk-90d_output.txt	0	0		
outputs/japanese-50x50-allk-145d_output.txt	0.15625	0.0943396		
outputs/japanese-50x50-allk-125d_output.txt	0.2	0.0943396		
outputs/japanese-50x50-allk-160d_output.txt	0.19375	0.132075		
outputs/mitchell-50x50-allk-75d_output.txt	0	0		
outputs/all-50x50-100k-50d_output.txt	0.252708	0.167568		
outputs/japanese-50x50-allk-45d_output.txt	0.9	0.811321		
outputs/all-50x50-200k-100d_output.txt	0.142599	0.162162		
outputs/japanese-50x50-allk-25d_output.txt	0.8875	0.698113		
outputs/japanese-50x50-allk-60d_output.txt	0.14375	0.169811		
outputs/mitchell-50x50-allk-60d_output.txt	0.192	0.119048		
outputs/mitchell-50x50-allk-95d_output.txt	0	0		
outputs/mitchell-50x50-allk-70d_output.txt	0.088	0.119048		
outputs/japanese-50x50-allk-185d_output.txt	0.15625	0.169811		
outputs/japanese-50x50-allk-165d_output.txt	0.1625	0.188679		
outputs/japanese-50x50-allk-99v_output.txt	0.1625	0.188679		
outputs/japanese-50x50-allk-105d_output.txt	0.18125	0.113208		
outputs/japanese-50x50-allk-150d_output.txt	0.13125	0.188679		
outputs/mitchell-50x50-allk-10d_output.txt	0.352	0.214286		
outputs/japanese-50x50-allk-130d_output.txt	0.16875	0.113208		
outputs/japanese-50x50-allk-70d_output.txt	0.23125	0.188679		
outputs/japanese-50x50-allk-35d_output.txt	0.93125	0.641509		
outputs/japanese-50x50-allk-55d_output.txt	0.775	0.698113		
outputs/mitchell-50x50-allk-125d_output.txt	0	0		
outputs/mitchell-50x50-allk-80d_output.txt	0	0		
outputs/japanese-50x50-allk-140d_output.txt	0.14375	0.150943		
outputs/japanese-50x50-allk-195d_output.txt	0.15625	0.0943396		
outputs/mitchell-50x50-allk-115d_output.txt	0	0		
outputs/mitchell-50x50-allk-50d_output.txt	0.472	0.238095		
outputs/japanese-50x50-allk-95d_output.txt	0.15	0.132075		
outputs/japanese-50x50-allk-120d_output.txt	0.15625	0.0943396		
outputs/japanese-50x50-allk-190d_output.txt	0.125	0.188679		
outputs/japanese-50x50-allk-40d_output.txt	0.9375	0.660377		
outputs/mitchell-50x50-allk-20d_output.txt	0.44	0.238095		
outputs/japanese-50x50-allk-15d_output.txt	0.75625	0.698113		
outputs/japanese-50x50-allk-205d_output.txt	0.175	0.150943		
	0.2791352763	0.2144487079		
