learn	mom	
0.3	0.9	
Arff File	 Training Accuracy	 Test Accuracy
outputs/filtered-50x50-400k-200d_output.txt	0.740826	0.37931
outputs/japanese-50x50-allk-110d_output.txt	0.79375	0.603774
outputs/mitchell-50x50-allk-105d_output.txt	0.792	0.261905
outputs/japanese-50x50-200k-100d_output.txt	0.925	0.811321
outputs/mitchell-50x50-allk-40d_output.txt	0.448	0.214286
outputs/japanese-50x50-allk-100d_output.txt	0.90625	0.603774
outputs/japanese-50x50-allk-20d_output.txt	0.81875	0.679245
outputs/mitchell-50x50-allk-120d_output.txt	0.808	0.214286
outputs/japanese-50x50-allk-200d_output.txt	0.76875	0.207547
outputs/japanese-50x50-allk-75d_output.txt	0.95	0.679245
outputs/japanese-50x50-allk-50d_output.txt	0.9	0.679245
outputs/japanese-50x50-allk-85d_output.txt	0.94375	0.792453
outputs/mitchell-50x50-allk-110d_output.txt	0.52	0.238095
outputs/japanese-50x50-allk-175d_output.txt	0.80625	0.320755
outputs/mitchell-50x50-allk-45d_output.txt	0.64	0.142857
outputs/filtered-50x50-100k-50d_output.txt	0.311927	0.22069
outputs/japanese-50x50-allk-30d_output.txt	0.89375	0.735849
outputs/japanese-50x50-allk-180d_output.txt	0.8125	0.396226
outputs/japanese-50x50-allk-80d_output.txt	0.9375	0.641509
outputs/japanese-50x50-allk-5d_output.txt	0.18125	0.113208
outputs/mitchell-50x50-allk-15d_output.txt	0.312	0.261905
outputs/japanese-50x50-allk-10d_output.txt	0.175	0.0754717
outputs/mitchell-50x50-allk-5d_output.txt	0.272	0.142857
outputs/japanese-50x50-100k-50d_output.txt	0.9125	0.660377
outputs/japanese-50x50-allk-210d_output.txt	0.7	0.113208
outputs/japanese-50x50-allk-155d_output.txt	0.70625	0.283019
outputs/japanese-50x50-allk-170d_output.txt	0.8375	0.377358
outputs/japanese-50x50-allk-135d_output.txt	0.85625	0.584906
outputs/mitchell-50x50-allk-30d_output.txt	0.304	0.214286
outputs/japanese-50x50-allk-65d_output.txt	0.95625	0.792453
outputs/mitchell-50x50-allk-25d_output.txt	0.344	0.142857
outputs/mitchell-50x50-allk-65d_output.txt	0.704	0.238095
outputs/filtered-50x50-200k-100d_output.txt	0.681193	0.296552
outputs/mitchell-50x50-allk-100d_output.txt	0.784	0.166667
outputs/all-50x50-400k-200d_output.txt	0.752708	0.227027
outputs/japanese-50x50-allk-115d_output.txt	0.8625	0.566038
outputs/japanese-50x50-allk-90d_output.txt	0.89375	0.716981
outputs/mitchell-50x50-allk-35d_output.txt	0.488	0.214286
outputs/mitchell-50x50-allk-85d_output.txt	0.768	0.238095
outputs/mitchell-50x50-allk-55d_output.txt	0.68	0.190476
outputs/mitchell-50x50-allk-90d_output.txt	0.76	0.166667
outputs/japanese-50x50-allk-145d_output.txt	0.84375	0.415094
outputs/japanese-50x50-allk-125d_output.txt	0.75	0.566038
outputs/japanese-50x50-allk-160d_output.txt	0.8	0.396226
outputs/mitchell-50x50-allk-75d_output.txt	0.76	0.190476
outputs/all-50x50-100k-50d_output.txt	0.249097	0.145946
outputs/japanese-50x50-allk-45d_output.txt	0.91875	0.792453
outputs/all-50x50-200k-100d_output.txt	0.49278	0.221622
outputs/japanese-50x50-allk-25d_output.txt	0.8625	0.679245
outputs/japanese-50x50-allk-60d_output.txt	0.94375	0.830189
outputs/mitchell-50x50-allk-60d_output.txt	0.8	0.261905
outputs/mitchell-50x50-allk-95d_output.txt	0.728	0.142857
outputs/mitchell-50x50-allk-70d_output.txt	0.792	0.261905
outputs/japanese-50x50-allk-185d_output.txt	0.75	0.188679
outputs/japanese-50x50-allk-165d_output.txt	0.7875	0.301887
outputs/japanese-50x50-allk-99v_output.txt	0.86875	0.528302
outputs/japanese-50x50-allk-105d_output.txt	0.9	0.622642
outputs/japanese-50x50-allk-150d_output.txt	0.85	0.471698
outputs/mitchell-50x50-allk-10d_output.txt	0.28	0.238095
outputs/japanese-50x50-allk-130d_output.txt	0.83125	0.45283
outputs/japanese-50x50-allk-70d_output.txt	0.9375	0.830189
outputs/japanese-50x50-allk-35d_output.txt	0.91875	0.698113
outputs/japanese-50x50-allk-55d_output.txt	0.90625	0.792453
outputs/mitchell-50x50-allk-125d_output.txt	0.824	0.285714
outputs/mitchell-50x50-allk-80d_output.txt	0.72	0.285714
outputs/japanese-50x50-allk-140d_output.txt	0.9	0.54717
outputs/japanese-50x50-allk-195d_output.txt	0.7625	0.150943
outputs/mitchell-50x50-allk-115d_output.txt	0.8	0.285714
outputs/mitchell-50x50-allk-50d_output.txt	0.672	0.214286
outputs/japanese-50x50-allk-95d_output.txt	0.91875	0.716981
outputs/japanese-50x50-allk-120d_output.txt	0.7625	0.528302
outputs/japanese-50x50-allk-190d_output.txt	0.69375	0.169811
outputs/japanese-50x50-allk-40d_output.txt	0.9	0.698113
outputs/mitchell-50x50-allk-20d_output.txt	0.352	0.238095
outputs/japanese-50x50-allk-15d_output.txt	0.6875	0.641509
outputs/japanese-50x50-allk-205d_output.txt	0.65	0.188679
	0.7676376667	0.4790616667
