Learning rate	Momentum	Hidden layers	Nodes per layer	Stopping Criteria
0.1	0.9	1	2* num dimensions	misclassification window of size 20  stops if improvement is less than 0.001
Arff File	 Training Accuracy	 Test Accuracy		
outputs/filtered-50x50-400k-200d_output.txt	0.110092	0.131034		
outputs/japanese-50x50-allk-110d_output.txt	0.15625	0.150943		
outputs/mitchell-50x50-allk-105d_output.txt	0	0		
outputs/japanese-50x50-200k-100d_output.txt	0.13125	0.169811		
outputs/mitchell-50x50-allk-40d_output.txt	0.432	0.261905		
outputs/japanese-50x50-allk-100d_output.txt	0.13125	0.169811		
outputs/japanese-50x50-allk-20d_output.txt	0.86875	0.641509		
outputs/mitchell-50x50-allk-120d_output.txt	0.072	0.0714286		
outputs/japanese-50x50-allk-200d_output.txt	0.18125	0.169811		
outputs/japanese-50x50-allk-75d_output.txt	0.13125	0.150943		
outputs/japanese-50x50-allk-50d_output.txt	0.79375	0.54717		
outputs/japanese-50x50-allk-85d_output.txt	0.14375	0.169811		
outputs/mitchell-50x50-allk-110d_output.txt	0	0		
outputs/japanese-50x50-allk-175d_output.txt	0.14375	0.150943		
outputs/mitchell-50x50-allk-45d_output.txt	0.12	0.142857		
outputs/filtered-50x50-100k-50d_output.txt	0.130734	0.103448		
outputs/japanese-50x50-allk-30d_output.txt	0.84375	0.698113		
outputs/japanese-50x50-allk-180d_output.txt	0.15	0.150943		
outputs/japanese-50x50-allk-80d_output.txt	0.15625	0.132075		
outputs/japanese-50x50-allk-5d_output.txt	0.31875	0.207547		
outputs/mitchell-50x50-allk-15d_output.txt	0.304	0.190476		
outputs/japanese-50x50-allk-10d_output.txt	0.6	0.396226		
outputs/mitchell-50x50-allk-5d_output.txt	0.296	0.119048		
outputs/japanese-50x50-100k-50d_output.txt	0.14375	0.150943		
outputs/japanese-50x50-allk-210d_output.txt	0.1625	0.226415		
outputs/japanese-50x50-allk-155d_output.txt	0.15	0.113208		
outputs/japanese-50x50-allk-170d_output.txt	0.125	0.226415		
outputs/japanese-50x50-allk-135d_output.txt	0.13125	0.188679		
outputs/mitchell-50x50-allk-30d_output.txt	0.528	0.261905		
outputs/japanese-50x50-allk-65d_output.txt	0.125	0.207547		
outputs/mitchell-50x50-allk-25d_output.txt	0.36	0.214286		
outputs/mitchell-50x50-allk-65d_output.txt	0	0		
outputs/filtered-50x50-200k-100d_output.txt	0.133028	0.0689655		
outputs/mitchell-50x50-allk-100d_output.txt	0.208	0.333333		
outputs/all-50x50-400k-200d_output.txt	0.126354	0.151351		
outputs/japanese-50x50-allk-115d_output.txt	0.1875	0.150943		
outputs/japanese-50x50-allk-90d_output.txt	0.225	0.169811		
outputs/mitchell-50x50-allk-35d_output.txt	0.32	0.238095		
outputs/mitchell-50x50-allk-85d_output.txt	0	0		
outputs/mitchell-50x50-allk-55d_output.txt	0.024	0		
outputs/mitchell-50x50-allk-90d_output.txt	0	0		
outputs/japanese-50x50-allk-145d_output.txt	0.15625	0.0943396		
outputs/japanese-50x50-allk-125d_output.txt	0.16875	0.226415		
outputs/japanese-50x50-allk-160d_output.txt	0.13125	0.188679		
outputs/mitchell-50x50-allk-75d_output.txt	0.288	0.261905		
outputs/all-50x50-100k-50d_output.txt	0.218412	0.118919		
outputs/japanese-50x50-allk-45d_output.txt	0.925	0.716981		
outputs/all-50x50-200k-100d_output.txt	0.144404	0.135135		
outputs/japanese-50x50-allk-25d_output.txt	0.85625	0.849057		
outputs/japanese-50x50-allk-60d_output.txt	0.13125	0.207547		
outputs/mitchell-50x50-allk-60d_output.txt	0.072	0.047619		
outputs/mitchell-50x50-allk-95d_output.txt	0.016	0.0238095		
outputs/mitchell-50x50-allk-70d_output.txt	0.08	0		
outputs/japanese-50x50-allk-185d_output.txt	0.14375	0.113208		
outputs/japanese-50x50-allk-165d_output.txt	0.16875	0.132075		
outputs/japanese-50x50-allk-99v_output.txt	0.14375	0.150943		
outputs/japanese-50x50-allk-105d_output.txt	0.1625	0.0754717		
outputs/japanese-50x50-allk-150d_output.txt	0.1125	0.0754717		
outputs/mitchell-50x50-allk-10d_output.txt	0.32	0.190476		
outputs/japanese-50x50-allk-130d_output.txt	0.13125	0.0943396		
outputs/japanese-50x50-allk-70d_output.txt	0.1125	0.226415		
outputs/japanese-50x50-allk-35d_output.txt	0.90625	0.735849		
outputs/japanese-50x50-allk-55d_output.txt	0.11875	0.207547		
outputs/mitchell-50x50-allk-125d_output.txt	0	0		
outputs/mitchell-50x50-allk-80d_output.txt	0	0		
outputs/japanese-50x50-allk-140d_output.txt	0.1375	0.150943		
outputs/japanese-50x50-allk-195d_output.txt	0.15625	0.113208		
outputs/mitchell-50x50-allk-115d_output.txt	0.28	0.166667		
outputs/mitchell-50x50-allk-50d_output.txt	0.608	0.357143		
outputs/japanese-50x50-allk-95d_output.txt	0.14375	0.150943		
outputs/japanese-50x50-allk-120d_output.txt	0.1625	0.169811		
outputs/japanese-50x50-allk-190d_output.txt	0.15	0.132075		
outputs/japanese-50x50-allk-40d_output.txt	0.9	0.679245		
outputs/mitchell-50x50-allk-20d_output.txt	0.264	0.285714		
outputs/japanese-50x50-allk-15d_output.txt	0.725	0.528302		
outputs/japanese-50x50-allk-205d_output.txt	0.15625	0.0754717		
	0.2415134737	0.2014404461		
