Learning rate	Momentum	Hidden Layers	Nodes per layer	Stopping criteria	
1	0	1	2Xdimensions	misclassification window of 20	 stop if previous <= current
Arff File	 Training Accuracy	 Test Accuracy			
outputs/filtered-50x50-400k-200d_output.txt	0.151376	0.110345			
outputs/japanese-50x50-allk-110d_output.txt	0.93125	0.660377			
outputs/mitchell-50x50-allk-105d_output.txt	0.816	0.166667			
outputs/japanese-50x50-200k-100d_output.txt	0.9125	0.679245			
outputs/mitchell-50x50-allk-40d_output.txt	0.552	0.214286			
outputs/japanese-50x50-allk-100d_output.txt	0.925	0.716981			
outputs/japanese-50x50-allk-20d_output.txt	0.80625	0.679245			
outputs/mitchell-50x50-allk-120d_output.txt	0.704	0.214286			
outputs/japanese-50x50-allk-200d_output.txt	0.20625	0.132075			
outputs/japanese-50x50-allk-75d_output.txt	0.93125	0.792453			
outputs/japanese-50x50-allk-50d_output.txt	0.91875	0.698113			
outputs/japanese-50x50-allk-85d_output.txt	0.9125	0.679245			
outputs/mitchell-50x50-allk-110d_output.txt	0.744	0.309524			
outputs/japanese-50x50-allk-175d_output.txt	0.15625	0.113208			
outputs/mitchell-50x50-allk-45d_output.txt	0.656	0.166667			
outputs/filtered-50x50-100k-50d_output.txt	0.353211	0.158621			
outputs/japanese-50x50-allk-30d_output.txt	0.9	0.698113			
outputs/japanese-50x50-allk-180d_output.txt	0.14375	0.132075			
outputs/japanese-50x50-allk-80d_output.txt	0.9125	0.716981			
outputs/japanese-50x50-allk-5d_output.txt	0.3	0.226415			
outputs/mitchell-50x50-allk-15d_output.txt	0.352	0.142857			
outputs/japanese-50x50-allk-10d_output.txt	0.6375	0.358491			
outputs/mitchell-50x50-allk-5d_output.txt	0.256	0.190476			
outputs/japanese-50x50-100k-50d_output.txt	0.89375	0.566038			
outputs/japanese-50x50-allk-210d_output.txt	0.175	0.0566038			
outputs/japanese-50x50-allk-155d_output.txt	0.15	0.132075			
outputs/japanese-50x50-allk-170d_output.txt	0.15	0.132075			
outputs/japanese-50x50-allk-135d_output.txt	0.86875	0.490566			
outputs/mitchell-50x50-allk-30d_output.txt	0.488	0.166667			
outputs/japanese-50x50-allk-65d_output.txt	0.94375	0.792453			
outputs/mitchell-50x50-allk-25d_output.txt	0.424	0.238095			
outputs/mitchell-50x50-allk-65d_output.txt	0.696	0.214286			
outputs/filtered-50x50-200k-100d_output.txt	0.62844	0.275862			
outputs/mitchell-50x50-allk-100d_output.txt	0.776	0.166667			
outputs/all-50x50-400k-200d_output.txt	0.142599	0.140541			
outputs/japanese-50x50-allk-115d_output.txt	0.8875	0.641509			
outputs/japanese-50x50-allk-90d_output.txt	0.89375	0.641509			
outputs/mitchell-50x50-allk-35d_output.txt	0.488	0.142857			
outputs/mitchell-50x50-allk-85d_output.txt	0.792	0.309524			
outputs/mitchell-50x50-allk-55d_output.txt	0.76	0.309524			
outputs/mitchell-50x50-allk-90d_output.txt	0.776	0.190476			
outputs/japanese-50x50-allk-145d_output.txt	0.23125	0.150943			
outputs/japanese-50x50-allk-125d_output.txt	0.875	0.528302			
outputs/japanese-50x50-allk-160d_output.txt	0.15	0.113208			
outputs/mitchell-50x50-allk-75d_output.txt	0.704	0.238095			
outputs/all-50x50-100k-50d_output.txt	0.250903	0.183784			
outputs/japanese-50x50-allk-45d_output.txt	0.9	0.716981			
outputs/all-50x50-200k-100d_output.txt	0.539711	0.237838			
outputs/japanese-50x50-allk-25d_output.txt	0.80625	0.584906			
outputs/japanese-50x50-allk-60d_output.txt	0.9375	0.849057			
outputs/mitchell-50x50-allk-60d_output.txt	0.704	0.285714			
outputs/mitchell-50x50-allk-95d_output.txt	0.736	0.190476			
outputs/mitchell-50x50-allk-70d_output.txt	0.696	0.142857			
outputs/japanese-50x50-allk-185d_output.txt	0.13125	0.169811			
outputs/japanese-50x50-allk-165d_output.txt	0.11875	0.207547			
outputs/japanese-50x50-allk-99v_output.txt	0.925	0.641509			
outputs/japanese-50x50-allk-105d_output.txt	0.91875	0.641509			
outputs/japanese-50x50-allk-150d_output.txt	0.175	0.132075			
outputs/mitchell-50x50-allk-10d_output.txt	0.312	0.142857			
outputs/japanese-50x50-allk-130d_output.txt	0.89375	0.528302			
outputs/japanese-50x50-allk-70d_output.txt	0.95	0.754717			
outputs/japanese-50x50-allk-35d_output.txt	0.95	0.754717			
outputs/japanese-50x50-allk-55d_output.txt	0.90625	0.698113			
outputs/mitchell-50x50-allk-125d_output.txt	0.752	0.357143			
outputs/mitchell-50x50-allk-80d_output.txt	0.792	0.261905			
outputs/japanese-50x50-allk-140d_output.txt	0.21875	0.207547			
outputs/japanese-50x50-allk-195d_output.txt	0.14375	0.150943			
outputs/mitchell-50x50-allk-115d_output.txt	0.832	0.166667			
outputs/mitchell-50x50-allk-50d_output.txt	0.712	0.142857			
outputs/japanese-50x50-allk-95d_output.txt	0.9	0.716981			
outputs/japanese-50x50-allk-120d_output.txt	0.89375	0.54717			
outputs/japanese-50x50-allk-190d_output.txt	0.1125	0.226415			
outputs/japanese-50x50-allk-40d_output.txt	0.91875	0.830189			
outputs/mitchell-50x50-allk-20d_output.txt	0.36	0.238095			
outputs/japanese-50x50-allk-15d_output.txt	0.69375	0.698113			
outputs/japanese-50x50-allk-205d_output.txt	0.1625	0.0377358			
