learn	mom	
0.3	0.9	
Arff File	 Training Accuracy	 Test Accuracy
outputs/filtered-50x50-400k-200d_output.txt	0.144495	0.131034
outputs/japanese-50x50-allk-110d_output.txt	0.1875	0.0754717
outputs/mitchell-50x50-allk-105d_output.txt	0.288	0.142857
outputs/japanese-50x50-200k-100d_output.txt	0.1375	0.169811
outputs/mitchell-50x50-allk-40d_output.txt	0.256	0.238095
outputs/japanese-50x50-allk-100d_output.txt	0.1375	0.132075
outputs/japanese-50x50-allk-20d_output.txt	0.79375	0.566038
outputs/mitchell-50x50-allk-120d_output.txt	0.256	0.261905
outputs/japanese-50x50-allk-200d_output.txt	0.175	0.0754717
outputs/japanese-50x50-allk-75d_output.txt	0.13125	0.150943
outputs/japanese-50x50-allk-50d_output.txt	0.125	0.169811
outputs/japanese-50x50-allk-85d_output.txt	0.15	0.150943
outputs/mitchell-50x50-allk-110d_output.txt	0	0
outputs/japanese-50x50-allk-175d_output.txt	0.14375	0.132075
outputs/mitchell-50x50-allk-45d_output.txt	0.256	0.190476
outputs/filtered-50x50-100k-50d_output.txt	0.174312	0.165517
outputs/japanese-50x50-allk-30d_output.txt	0.125	0.169811
outputs/japanese-50x50-allk-180d_output.txt	0.175	0.0754717
outputs/japanese-50x50-allk-80d_output.txt	0.11875	0.264151
outputs/japanese-50x50-allk-5d_output.txt	0.24375	0.207547
outputs/mitchell-50x50-allk-15d_output.txt	0.384	0.261905
outputs/japanese-50x50-allk-10d_output.txt	0.49375	0.415094
outputs/mitchell-50x50-allk-5d_output.txt	0.264	0.238095
outputs/japanese-50x50-100k-50d_output.txt	0.15	0.226415
outputs/japanese-50x50-allk-210d_output.txt	0.15	0.113208
outputs/japanese-50x50-allk-155d_output.txt	0.15625	0.132075
outputs/japanese-50x50-allk-170d_output.txt	0.1375	0.188679
outputs/japanese-50x50-allk-135d_output.txt	0.14375	0.132075
outputs/mitchell-50x50-allk-30d_output.txt	0.144	0.285714
outputs/japanese-50x50-allk-65d_output.txt	0.15	0.150943
outputs/mitchell-50x50-allk-25d_output.txt	0	0
outputs/mitchell-50x50-allk-65d_output.txt	0.248	0.261905
outputs/filtered-50x50-200k-100d_output.txt	0.12844	0.17931
outputs/mitchell-50x50-allk-100d_output.txt	0.288	0.166667
outputs/all-50x50-400k-200d_output.txt	0.148014	0.124324
outputs/japanese-50x50-allk-115d_output.txt	0.1625	0.0754717
outputs/japanese-50x50-allk-90d_output.txt	0.175	0.207547
outputs/mitchell-50x50-allk-35d_output.txt	0.264	0.238095
outputs/mitchell-50x50-allk-85d_output.txt	0	0
outputs/mitchell-50x50-allk-55d_output.txt	0.24	0.285714
outputs/mitchell-50x50-allk-90d_output.txt	0	0
outputs/japanese-50x50-allk-145d_output.txt	0.14375	0.150943
outputs/japanese-50x50-allk-125d_output.txt	0.11875	0.207547
outputs/japanese-50x50-allk-160d_output.txt	0.1375	0.150943
outputs/mitchell-50x50-allk-75d_output.txt	0.24	0.285714
outputs/all-50x50-100k-50d_output.txt	0.135379	0.167568
outputs/japanese-50x50-allk-45d_output.txt	0.16875	0.0754717
outputs/all-50x50-200k-100d_output.txt	0.137184	0.118919
outputs/japanese-50x50-allk-25d_output.txt	0.1625	0.113208
outputs/japanese-50x50-allk-60d_output.txt	0.1375	0.169811
outputs/mitchell-50x50-allk-60d_output.txt	0.272	0.190476
outputs/mitchell-50x50-allk-95d_output.txt	0	0
outputs/mitchell-50x50-allk-70d_output.txt	0	0
outputs/japanese-50x50-allk-185d_output.txt	0.15625	0.113208
outputs/japanese-50x50-allk-165d_output.txt	0.18125	0.0377358
outputs/japanese-50x50-allk-99v_output.txt	0.125	0.207547
outputs/japanese-50x50-allk-105d_output.txt	0.14375	0.150943
outputs/japanese-50x50-allk-150d_output.txt	0.1375	0.150943
outputs/mitchell-50x50-allk-10d_output.txt	0.312	0.119048
outputs/japanese-50x50-allk-130d_output.txt	0.16875	0.0943396
outputs/japanese-50x50-allk-70d_output.txt	0.1625	0.0943396
outputs/japanese-50x50-allk-35d_output.txt	0.125	0.226415
outputs/japanese-50x50-allk-55d_output.txt	0.15625	0.113208
outputs/mitchell-50x50-allk-125d_output.txt	0.296	0.142857
outputs/mitchell-50x50-allk-80d_output.txt	0	0
outputs/japanese-50x50-allk-140d_output.txt	0.15625	0.113208
outputs/japanese-50x50-allk-195d_output.txt	0.15	0.132075
outputs/mitchell-50x50-allk-115d_output.txt	0	0
outputs/mitchell-50x50-allk-50d_output.txt	0	0
outputs/japanese-50x50-allk-95d_output.txt	0.14375	0.132075
outputs/japanese-50x50-allk-120d_output.txt	0.15	0.150943
outputs/japanese-50x50-allk-190d_output.txt	0.1375	0.169811
outputs/japanese-50x50-allk-40d_output.txt	0.1375	0.113208
outputs/mitchell-50x50-allk-20d_output.txt	0.448	0.214286
outputs/japanese-50x50-allk-15d_output.txt	0.775	0.622642
outputs/japanese-50x50-allk-205d_output.txt	0.125	0.207547
	0.1800832105	0.1590752697
