Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/filtered-50x50-400k-200d_output.txt,0.768349,0.303448,0.1,0.2
outputs/japanese-50x50-allk-110d_output.txt,0.9125,0.54717,0.1,0.2
outputs/mitchell-50x50-allk-105d_output.txt,0.768,0.238095,0.1,0.2
outputs/japanese-50x50-200k-100d_output.txt,0.91875,0.603774,0.1,0.2
outputs/mitchell-50x50-allk-40d_output.txt,0.44,0.309524,0.1,0.2
outputs/japanese-50x50-allk-100d_output.txt,0.89375,0.641509,0.1,0.2
outputs/japanese-50x50-allk-20d_output.txt,0.76875,0.415094,0.1,0.2
outputs/mitchell-50x50-allk-120d_output.txt,0.76,0.309524,0.1,0.2
outputs/japanese-50x50-allk-200d_output.txt,0.39375,0.207547,0.1,0.2
outputs/japanese-50x50-allk-75d_output.txt,0.725,0.641509,0.1,0.2
outputs/japanese-50x50-allk-50d_output.txt,0.91875,0.679245,0.1,0.2
outputs/japanese-50x50-allk-85d_output.txt,0.9125,0.754717,0.1,0.2
outputs/mitchell-50x50-allk-110d_output.txt,0.792,0.214286,0.1,0.2
outputs/japanese-50x50-allk-175d_output.txt,0.65625,0.264151,0.1,0.2
outputs/mitchell-50x50-allk-45d_output.txt,0.376,0.238095,0.1,0.2
outputs/filtered-50x50-100k-50d_output.txt,0.298165,0.193103,0.1,0.2
outputs/japanese-50x50-allk-30d_output.txt,0.775,0.679245,0.1,0.2
outputs/japanese-50x50-allk-180d_output.txt,0.425,0.207547,0.1,0.2
outputs/japanese-50x50-allk-80d_output.txt,0.88125,0.735849,0.1,0.2
outputs/japanese-50x50-allk-5d_output.txt,0.11875,0.188679,0.1,0.2
outputs/mitchell-50x50-allk-15d_output.txt,0.28,0.142857,0.1,0.2
outputs/japanese-50x50-allk-10d_output.txt,0.275,0.150943,0.1,0.2
outputs/mitchell-50x50-allk-5d_output.txt,0.272,0.214286,0.1,0.2
outputs/japanese-50x50-100k-50d_output.txt,0.9125,0.641509,0.1,0.2
outputs/japanese-50x50-allk-210d_output.txt,0.59375,0.0377358,0.1,0.2
outputs/japanese-50x50-allk-155d_output.txt,0.8125,0.471698,0.1,0.2
outputs/japanese-50x50-allk-170d_output.txt,0.78125,0.245283,0.1,0.2
outputs/japanese-50x50-allk-135d_output.txt,0.85,0.603774,0.1,0.2
outputs/mitchell-50x50-allk-30d_output.txt,0.368,0.238095,0.1,0.2
outputs/japanese-50x50-allk-65d_output.txt,0.9375,0.735849,0.1,0.2
outputs/mitchell-50x50-allk-25d_output.txt,0.36,0.142857,0.1,0.2
outputs/mitchell-50x50-allk-65d_output.txt,0.608,0.333333,0.1,0.2
outputs/filtered-50x50-200k-100d_output.txt,0.474771,0.296552,0.1,0.2
outputs/mitchell-50x50-allk-100d_output.txt,0.72,0.285714,0.1,0.2
outputs/all-50x50-400k-200d_output.txt,0.687726,0.254054,0.1,0.2
outputs/japanese-50x50-allk-115d_output.txt,0.88125,0.509434,0.1,0.2
outputs/japanese-50x50-allk-90d_output.txt,0.89375,0.679245,0.1,0.2
