Arff File, Training Accuracy, Test Accuracy, Learning Rate, Momentum
outputs/filtered-50x50-400k-200d_output.txt,0.0940367,0.144828,0.4,0.9
outputs/japanese-50x50-allk-110d_output.txt,0.15625,0.169811,0.4,0.9
outputs/mitchell-50x50-allk-105d_output.txt,0.248,0.214286,0.4,0.9
outputs/japanese-50x50-200k-100d_output.txt,0.15,0.150943,0.4,0.9
outputs/mitchell-50x50-allk-40d_output.txt,0.0,0.0,0.4,0.9
outputs/japanese-50x50-allk-100d_output.txt,0.125,0.132075,0.4,0.9
outputs/japanese-50x50-allk-20d_output.txt,0.14375,0.132075,0.4,0.9
outputs/mitchell-50x50-allk-120d_output.txt,0.0,0.0,0.4,0.9
outputs/japanese-50x50-allk-200d_output.txt,0.13125,0.188679,0.4,0.9
outputs/japanese-50x50-allk-75d_output.txt,0.125,0.188679,0.4,0.9
outputs/japanese-50x50-allk-50d_output.txt,0.2,0.0566038,0.4,0.9
outputs/japanese-50x50-allk-85d_output.txt,0.1875,0.0943396,0.4,0.9
outputs/mitchell-50x50-allk-110d_output.txt,0.0,0.0,0.4,0.9
outputs/japanese-50x50-allk-175d_output.txt,0.18125,0.0377358,0.4,0.9
outputs/mitchell-50x50-allk-45d_output.txt,0.288,0.142857,0.4,0.9
outputs/filtered-50x50-100k-50d_output.txt,0.116972,0.103448,0.4,0.9
outputs/japanese-50x50-allk-30d_output.txt,0.13125,0.169811,0.4,0.9
outputs/japanese-50x50-allk-180d_output.txt,0.15,0.0943396,0.4,0.9
outputs/japanese-50x50-allk-80d_output.txt,0.15,0.113208,0.4,0.9
outputs/japanese-50x50-allk-5d_output.txt,0.2,0.245283,0.4,0.9
outputs/mitchell-50x50-allk-15d_output.txt,0.296,0.238095,0.4,0.9
outputs/japanese-50x50-allk-10d_output.txt,0.4375,0.339623,0.4,0.9
outputs/mitchell-50x50-allk-5d_output.txt,0.264,0.214286,0.4,0.9
outputs/japanese-50x50-100k-50d_output.txt,0.15,0.113208,0.4,0.9
outputs/japanese-50x50-allk-210d_output.txt,0.125,0.226415,0.4,0.9
outputs/japanese-50x50-allk-155d_output.txt,0.14375,0.132075,0.4,0.9
outputs/japanese-50x50-allk-170d_output.txt,0.13125,0.226415,0.4,0.9
outputs/japanese-50x50-allk-135d_output.txt,0.1375,0.188679,0.4,0.9
outputs/mitchell-50x50-allk-30d_output.txt,0.0,0.0,0.4,0.9
outputs/japanese-50x50-allk-65d_output.txt,0.125,0.188679,0.4,0.9
outputs/mitchell-50x50-allk-25d_output.txt,0.272,0.214286,0.4,0.9
outputs/mitchell-50x50-allk-65d_output.txt,0.256,0.261905,0.4,0.9
outputs/filtered-50x50-200k-100d_output.txt,0.149083,0.0896552,0.4,0.9
outputs/mitchell-50x50-allk-100d_output.txt,0.296,0.166667,0.4,0.9
outputs/all-50x50-400k-200d_output.txt,0.17148,0.124324,0.4,0.9
outputs/japanese-50x50-allk-115d_output.txt,0.1375,0.132075,0.4,0.9
outputs/japanese-50x50-allk-90d_output.txt,0.1375,0.113208,0.4,0.9
outputs/mitchell-50x50-allk-35d_output.txt,0.272,0.214286,0.4,0.9
outputs/mitchell-50x50-allk-85d_output.txt,0.0,0.0,0.4,0.9
outputs/mitchell-50x50-allk-55d_output.txt,0.264,0.214286,0.4,0.9
outputs/mitchell-50x50-allk-90d_output.txt,0.256,0.190476,0.4,0.9
outputs/japanese-50x50-allk-145d_output.txt,0.1375,0.150943,0.4,0.9
outputs/japanese-50x50-allk-125d_output.txt,0.13125,0.150943,0.4,0.9
outputs/japanese-50x50-allk-160d_output.txt,0.1625,0.113208,0.4,0.9
outputs/mitchell-50x50-allk-75d_output.txt,0.264,0.238095,0.4,0.9
outputs/all-50x50-100k-50d_output.txt,0.138989,0.140541,0.4,0.9
outputs/japanese-50x50-allk-45d_output.txt,0.15,0.132075,0.4,0.9
outputs/all-50x50-200k-100d_output.txt,0.142599,0.140541,0.4,0.9
outputs/japanese-50x50-allk-25d_output.txt,0.14375,0.132075,0.4,0.9
